GAME_ID,GAME_DATE_EST,TEAM_ID_home,PTS_home,SEASON,TEAM_ID_away,PTS_away
857878,2022-12-29,7,129,2022,11,114
857879,2022-12-29,4,121,2022,21,113
857880,2022-12-29,12,135,2022,6,126
857881,2022-12-29,2,116,2022,13,110
857882,2022-12-29,27,122,2022,20,115
857883,2022-12-30,10,118,2022,25,112
857884,2022-12-30,8,124,2022,16,119
857885,2022-12-30,19,127,2022,23,116
857886,2022-12-30,17,123,2022,18,114
857887,2022-12-30,5,132,2022,9,118
857888,2022-12-30,28,113,2022,24,104
857889,2022-12-30,1,121,2022,14,130
857890,2022-12-30,22,100,2022,30,119
857891,2022-12-30,26,126,2022,29,125
857892,2022-12-31,12,131,2022,13,130
857893,2022-12-31,5,102,2022,6,103
857894,2022-12-31,4,106,2022,3,123
857895,2022-12-31,29,123,2022,16,126
857896,2022-12-31,21,96,2022,23,115
857897,2022-12-31,11,88,2022,20,108
857898,2022-12-31,18,104,2022,9,116
857899,2022-12-31,15,116,2022,19,101
857900,2022-12-31,27,125,2022,7,126
857901,2023-01-01,17,95,2022,30,118
857902,2023-01-01,15,118,2022,26,108
857903,2023-01-01,8,123,2022,2,111
857904,2023-01-02,10,143,2022,1,141
857905,2023-01-02,18,124,2022,8,111
857906,2023-01-02,12,122,2022,28,114
857907,2023-01-02,11,106,2022,7,111
857908,2023-01-02,6,145,2022,5,134
857909,2023-01-02,20,102,2022,24,83
857910,2023-01-02,4,115,2022,14,121
857911,2023-01-02,23,120,2022,19,111
857912,2023-01-02,25,135,2022,9,106
857913,2023-01-02,3,139,2022,27,103
857914,2023-01-02,13,100,2022,16,110
857915,2023-01-03,17,123,2022,30,113
857916,2023-01-03,21,150,2022,2,117
857917,2023-01-03,29,115,2022,26,117
857918,2023-01-04,5,121,2022,3,112
857919,2023-01-04,22,126,2022,21,115
857920,2023-01-04,18,113,2022,25,106
857921,2023-01-04,20,117,2022,27,114
857922,2023-01-04,10,119,2022,9,122
857923,2023-01-04,4,107,2022,15,131
857924,2023-01-04,19,119,2022,11,108
857925,2023-01-04,28,101,2022,17,104
