game_id,game_date,game_home_team,game_home_team_score,game_season,game_visitor_team,game_visitor_team_score
857704,2022-12-04,Knicks,92,2022,Cavaliers,81
857705,2022-12-04,Trail Blazers,116,2022,Pacers,100
857706,2022-12-05,Hornets,117,2022,Clippers,119
857707,2022-12-05,Warriors,104,2022,Pacers,112
857708,2022-12-05,Grizzlies,101,2022,Heat,93
857709,2022-12-05,Raptors,110,2022,Celtics,116
857710,2022-12-05,Rockets,132,2022,76ers,123
857711,2022-12-05,Magic,102,2022,Bucks,109
857712,2022-12-05,Hawks,114,2022,Thunder,121
857713,2022-12-05,Mavericks,130,2022,Suns,111
857714,2022-12-06,Heat,96,2022,Pistons,116
857715,2022-12-06,Nuggets,115,2022,Mavericks,116
857716,2022-12-06,Cavaliers,116,2022,Lakers,102
857717,2022-12-07,Bucks,126,2022,Kings,113
857718,2022-12-07,Jazz,124,2022,Warriors,123
857719,2022-12-07,Raptors,126,2022,Lakers,113
857720,2022-12-07,Pelicans,104,2022,Pistons,98
857721,2022-12-07,Knicks,113,2022,Hawks,89
857722,2022-12-07,Nets,122,2022,Hornets,116
857723,2022-12-07,Grizzlies,123,2022,Thunder,102
857724,2022-12-07,Timberwolves,121,2022,Pacers,115
857725,2022-12-07,Magic,116,2022,Clippers,111
857726,2022-12-07,Bulls,115,2022,Wizards,111
857727,2022-12-07,Suns,98,2022,Celtics,125
857728,2022-12-08,Heat,115,2022,Clippers,110
857729,2022-12-08,Spurs,118,2022,Rockets,109
857730,2022-12-08,Trail Blazers,120,2022,Nuggets,121
857731,2022-12-09,Magic,113,2022,Raptors,109
857732,2022-12-09,Mavericks,105,2022,Bucks,106
857733,2022-12-09,Hornets,102,2022,Knicks,121
857734,2022-12-09,Nets,120,2022,Hawks,116
857735,2022-12-09,Grizzlies,114,2022,Pistons,103
857736,2022-12-09,76ers,133,2022,Lakers,122
857737,2022-12-09,Pacers,121,2022,Wizards,111
857738,2022-12-09,Pelicans,128,2022,Suns,117
857739,2022-12-09,Cavaliers,95,2022,Kings,106
857740,2022-12-09,Jazz,108,2022,Timberwolves,118
857741,2022-12-10,Heat,111,2022,Spurs,115
857742,2022-12-10,Bulls,144,2022,Mavericks,115
857743,2022-12-10,Wizards,107,2022,Clippers,114
857744,2022-12-10,Warriors,123,2022,Celtics,107
857745,2022-12-10,Cavaliers,110,2022,Thunder,102
857746,2022-12-10,Pacers,133,2022,Nets,136
857747,2022-12-10,Nuggets,115,2022,Jazz,110
857748,2022-12-10,Trail Blazers,124,2022,Timberwolves,118
857749,2022-12-11,Pistons,117,2022,Lakers,124
857750,2022-12-11,76ers,131,2022,Hornets,113
857751,2022-12-11,Hawks,123,2022,Bulls,122
857752,2022-12-11,Magic,111,2022,Raptors,99
857753,2022-12-11,Pelicans,129,2022,Suns,124
857754,2022-12-11,Knicks,112,2022,Kings,99
857755,2022-12-11,Rockets,97,2022,Bucks,92
857756,2022-12-12,Trail Blazers,133,2022,Timberwolves,112
857757,2022-12-12,Wizards,100,2022,Nets,112
857758,2022-12-12,Grizzlies,128,2022,Hawks,103
857759,2022-12-12,Spurs,112,2022,Cavaliers,111
857760,2022-12-12,Pacers,82,2022,Heat,87
857761,2022-12-12,Clippers,113,2022,Celtics,93
857762,2022-12-12,Mavericks,121,2022,Thunder,114
857763,2022-12-13,Bucks,128,2022,Warriors,111
857764,2022-12-13,Jazz,121,2022,Pelicans,100
857765,2022-12-13,Lakers,118,2022,Celtics,122
857766,2022-12-13,Rockets,111,2022,Suns,97
857767,2022-12-13,76ers,123,2022,Kings,103
857768,2022-12-14,Nuggets,141,2022,Wizards,128
857769,2022-12-14,Clippers,99,2022,Timberwolves,88
857770,2022-12-14,Magic,135,2022,Hawks,124
857771,2022-12-14,Pacers,125,2022,Warriors,119
857772,2022-12-14,Thunder,108,2022,Heat,110
857773,2022-12-14,Raptors,123,2022,Kings,124
857774,2022-12-14,Bulls,120,2022,Knicks,128
857775,2022-12-14,Mavericks,90,2022,Cavaliers,105
857776,2022-12-14,Hornets,134,2022,Pistons,141
857777,2022-12-14,Spurs,112,2022,Trail Blazers,128
857778,2022-12-15,Rockets,108,2022,Heat,111
857779,2022-12-15,Jazz,132,2022,Pelicans,129
857780,2022-12-15,Grizzlies,142,2022,Bucks,101
857781,2022-12-15,Clippers,95,2022,Suns,111
857782,2022-12-16,Bulls,91,2022,Knicks,114
857783,2022-12-16,Lakers,126,2022,Nuggets,108
857784,2022-12-16,Hornets,106,2022,Hawks,125
857785,2022-12-16,Raptors,116,2022,Nets,119
857786,2022-12-16,Celtics,109,2022,Magic,117
857787,2022-12-16,Thunder,110,2022,Timberwolves,112
857788,2022-12-16,Pistons,113,2022,Kings,122
857789,2022-12-16,76ers,118,2022,Warriors,106
857790,2022-12-16,Cavaliers,118,2022,Pacers,112
857791,2022-12-16,Mavericks,130,2022,Trail Blazers,110
857792,2022-12-17,Spurs,101,2022,Heat,111
857793,2022-12-17,Clippers,102,2022,Wizards,93
857794,2022-12-17,Cavaliers,100,2022,Mavericks,99
857795,2022-12-17,Rockets,95,2022,Trail Blazers,107
857796,2022-12-17,Bucks,123,2022,Jazz,97
857797,2022-12-17,Suns,118,2022,Pelicans,114
857798,2022-12-17,Thunder,115,2022,Grizzlies,109
857799,2022-12-18,Nuggets,119,2022,Hornets,115
857800,2022-12-18,Timberwolves,150,2022,Bulls,126
857801,2022-12-18,Celtics,92,2022,Magic,95
857802,2022-12-18,Raptors,110,2022,Warriors,126
857803,2022-12-18,Lakers,119,2022,Wizards,117
857804,2022-12-18,Pacers,106,2022,Knicks,109
857805,2022-12-18,Pistons,121,2022,Nets,124
857806,2022-12-19,Kings,119,2022,Hornets,125
857807,2022-12-19,Cavaliers,122,2022,Jazz,99
857808,2022-12-19,Rockets,105,2022,Spurs,124
857809,2022-12-19,Pelicans,119,2022,Bucks,128
857810,2022-12-19,Hawks,126,2022,Magic,125
857811,2022-12-19,Suns,130,2022,Lakers,104
857812,2022-12-19,Thunder,123,2022,Trail Blazers,121
857813,2022-12-19,Timberwolves,116,2022,Mavericks,106
857814,2022-12-19,76ers,104,2022,Raptors,101
857815,2022-12-20,Knicks,132,2022,Warriors,94
857816,2022-12-20,Pistons,111,2022,Jazz,126
857817,2022-12-20,Nuggets,105,2022,Grizzlies,91
857818,2022-12-20,Heat,103,2022,Bulls,113
857819,2022-12-20,Suns,110,2022,Wizards,113
857820,2022-12-21,Thunder,101,2022,Trail Blazers,98
857821,2022-12-21,Kings,134,2022,Lakers,120
857822,2022-12-21,Cavaliers,114,2022,Bucks,106
857823,2022-12-21,76ers,113,2022,Pistons,93
857824,2022-12-21,Hawks,108,2022,Bulls,110
857825,2022-12-21,Rockets,110,2022,Magic,116
857826,2022-12-21,Timberwolves,99,2022,Mavericks,104
